sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0157a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	indet.	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0158a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0159a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0160a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0161a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0162a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0163a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0164a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0165a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve male	indet.	Comps	Gard	43.85	4.6	16	8	5	2014	collection
19.0166a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0167a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0168a	NA	TRUE	NA	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0169a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0170a	NA	TRUE	fuscus	TRUE	fuscus	larve male	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0171a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0172a	NA	TRUE	fuscus	TRUE	fuscus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0173a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve femelle	Pheidole pallidula	Collias	Gard	43.938056	4.433611	80	24	5	2013	collection
19.0174a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Beaumes-de-Venise	Vaucluse	44.125	5.009444	175	22	5	2013	collection
19.0175a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Beaumes-de-Venise	Vaucluse	44.125	5.009444	175	22	5	2013	collection
19.0176a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve male	Pheidole pallidula	Montpellier	Herault	43.6425	3.870833	65	2	5	2012	collection
