sample	morpho_id	mitoch_seq	mitoch_id	radseq_seq	radseq_id	status	host	site	dep.	long	lat	alt	dd	mm	yyyy	origine
19.0001a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0002a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0003a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0004a	NA	FALSE_W	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0005a	NA	FALSE	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0006a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207003	4.731359	136	13	4	2019	sampling
19.0007a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0008a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0009a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206801	4.731153	133	13	4	2019	sampling
19.0010a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207444	4.732028	148	13	4	2019	sampling
19.0011a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207583	4.732222	148	13	4	2019	sampling
19.0012a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Mornas	Vaucluse	44.207944	4.732889	164	13	4	2019	sampling
19.0013a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207778	4.733	164	13	4	2019	sampling
19.0013b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207778	4.733	164	13	4	2019	sampling
19.0014a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207167	4.734361	162	13	4	2019	sampling
19.0015a	NA	FILTERED_OUT	NA	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.205306	4.735556	126	13	4	2019	sampling
19.0016a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.2055	4.735917	127	13	4	2019	sampling
19.0017a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.205778	4.735556	127	13	4	2019	sampling
19.0019a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Mornas	Vaucluse	44.208694	4.746028	150	18	4	2019	sampling
19.0020a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208389	4.732222	168	20	4	2019	sampling
19.0021a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208139	4.732972	168	20	4	2019	sampling
19.0021b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208139	4.732972	168	20	4	2019	sampling
19.0021c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208139	4.732972	168	20	4	2019	sampling
19.0022a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208278	4.733194	168	20	4	2019	sampling
19.0022b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208278	4.733194	168	20	4	2019	sampling
19.0023a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208278	4.733194	168	20	4	2019	sampling
19.0024a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208361	4.732861	168	20	4	2019	sampling
19.0025a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208056	4.733167	168	20	4	2019	sampling
19.0026a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207778	4.734222	168	20	4	2019	sampling
19.0027a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207833	4.734222	168	20	4	2019	sampling
19.0027b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207833	4.734222	168	20	4	2019	sampling
19.0028a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208333	4.73275	168	20	4	2019	sampling
19.0028b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208333	4.73275	168	20	4	2019	sampling
19.0029a	NA	TRUE	fuscus	TRUE	fuscus	larve indet	Lasius niger	Mornas	Vaucluse	44.208333	4.732667	168	20	4	2019	sampling
19.0030a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208694	4.738556	160	20	4	2019	sampling
19.0031a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208694	4.738417	160	20	4	2019	sampling
19.0032a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208389	4.738417	160	20	4	2019	sampling
19.0033a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208194	4.737472	160	20	4	2019	sampling
19.0034a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207361	4.734278	161	20	4	2019	sampling
19.0035a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207361	4.734306	161	20	4	2019	sampling
19.0035b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207361	4.734306	161	20	4	2019	sampling
19.0035c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207361	4.734306	161	20	4	2019	sampling
19.0036a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0036b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0036c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0036d	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0037a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0037b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207722	4.734389	165	20	4	2019	sampling
19.0038a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Mornas	Vaucluse	44.207611	4.735028	162	20	4	2019	sampling
19.0039a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207694	4.734889	162	20	4	2019	sampling
19.0040a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207556	4.734972	162	20	4	2019	sampling
19.0040b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207556	4.734972	162	20	4	2019	sampling
19.0040c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207556	4.734972	162	20	4	2019	sampling
19.0040d	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207556	4.734972	162	20	4	2019	sampling
19.0041a	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Messor structor	Mornas	Vaucluse	44.20775	4.735222	162	20	4	2019	sampling
19.0041b	M. myrmecophilus	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Messor structor	Mornas	Vaucluse	44.20775	4.735222	162	20	4	2019	sampling
19.0042a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208	4.7355	162	21	4	2019	sampling
19.0043a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0043b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0043c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0043d	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0043e	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0043f	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207139	4.736417	149	21	4	2019	sampling
19.0044a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207111	4.735528	149	21	4	2019	sampling
19.0044b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207111	4.735528	149	21	4	2019	sampling
19.0044c	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207111	4.735528	149	21	4	2019	sampling
19.0045a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207083	4.735306	149	21	4	2019	sampling
19.0045b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207083	4.735306	149	21	4	2019	sampling
19.0045c	NA	TRUE	myrmecophilus	FILTERED_OUT	NA	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207083	4.735306	149	21	4	2019	sampling
19.0045d	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207083	4.735306	149	21	4	2019	sampling
19.0045e	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.207083	4.735306	149	21	4	2019	sampling
19.0046a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206889	4.736639	140	21	4	2019	sampling
19.0047a	NA	TRUE	myrmecophilus	FILTERED_OUT	NA	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206889	4.736889	140	21	4	2019	sampling
19.0048a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.205917	4.734444	147	21	4	2019	sampling
19.0048b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.205917	4.734444	147	21	4	2019	sampling
19.0049a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206	4.734472	147	21	4	2019	sampling
19.0050a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206	4.734667	147	21	4	2019	sampling
19.0051a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206417	4.734861	149	21	4	2019	sampling
19.0052a	NA	TRUE	myrmecophilus	FILTERED_OUT	NA	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208583	4.746083	150	22	4	2019	sampling
19.0053a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.208806	4.745917	150	22	4	2019	sampling
19.0054a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.20725	4.733	153	22	4	2019	sampling
19.0055a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Mornas	Vaucluse	44.206139	4.731639	128	22	4	2019	sampling
19.0056a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Mornas	Vaucluse	44.206444	4.731861	128	22	4	2019	sampling
19.0057a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Pheidole pallidula	Méthamis	Vaucluse	44.01756	5.2346	320	27	4	2019	sampling
19.0057b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Pheidole pallidula	Méthamis	Vaucluse	44.01756	5.2346	320	27	4	2019	sampling
19.0058a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Pheidole pallidula	Le Beaucet	Vaucluse	43.96452	5.13578	460	1	5	2019	sampling
19.0059a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Pheidole pallidula	Le Beaucet	Vaucluse	43.96547	5.13509	460	1	5	2019	sampling
19.0060a	NA	TRUE	fuscus	TRUE	fuscus	femelle	Pheidole pallidula	Beaumont-de-Pertuis	Vaucluse	43.75773	5.69101	450	3	5	2019	sampling
19.0061a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Beaumes-de-Venise	Vaucluse	44.123959	5.043358	135	7	5	2019	sampling
19.0062a	NA	FALSE_W	NA	TRUE	myrmecophilus	femelle	indet.	Goult	Vaucluse	43.86183	5.22807	230	26	10	2017	sampling
19.0063a	NA	TRUE	fuscus	TRUE	fuscus	femelle	indet.	La Tour d'Aigues	Vaucluse	43.68944	5.60608	445	6	6	2018	sampling
19.0064a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Pheidole pallidula	Venasque	Vaucluse	43.99519	5.17302	285	16	5	2019	sampling
19.0065a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Pheidole pallidula	Venasque	Vaucluse	43.99661	5.17025	280	16	5	2019	sampling
19.0066a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Camponotus cruentatus	Venasque	Vaucluse	44.00122	5.17097	270	16	5	2019	sampling
19.0067a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	male	indet.	Caumont-sur-Durance	Vaucluse	43.90245	4.94066	100	18	5	2019	sampling
19.0068a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Saumane-de-Vaucluse	Vaucluse	43.94896	5.126	360	1	6	2019	sampling
19.0068b	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	male	Camponotus cruentatus	Saumane-de-Vaucluse	Vaucluse	43.94896	5.126	360	1	6	2019	sampling
19.0068c	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Saumane-de-Vaucluse	Vaucluse	43.94896	5.126	360	1	6	2019	sampling
19.0069a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	indet.	Saumane-de-Vaucluse	Vaucluse	43.95176	5.12326	390	1	6	2019	sampling
19.0069b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	indet.	Saumane-de-Vaucluse	Vaucluse	43.95176	5.12326	390	1	6	2019	sampling
19.0070a	M. aequispina	TRUE	myrmecophilus	TRUE	myrmecophilus	femelle	Camponotus cruentatus	Puget	Vaucluse	43.76678	5.23745	215	5	6	2019	sampling
19.0070b	M. aequispina	FALSE	NA	TRUE	myrmecophilus	larve indet	Camponotus cruentatus	Puget	Vaucluse	43.76678	5.23745	215	5	6	2019	sampling
19.0071a	NA	TRUE	fuscus	TRUE	fuscus	femelle	Lasius niger	Eyguières	Bouches-du-Rhones	43.702361	4.980361	176	17	5	2019	sampling
19.0071b	NA	TRUE	fuscus	TRUE	fuscus	male	Lasius niger	Eyguières	Bouches-du-Rhones	43.702361	4.980361	176	17	5	2019	sampling
19.0072a	NA	TRUE	fuscus	TRUE	fuscus	femelle	Lasius niger	Eyguières	Bouches-du-Rhones	43.70225	4.98025	176	17	5	2019	sampling
19.0073a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.701861	4.980444	178	17	5	2019	sampling
19.0074a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.702389	4.981222	181	17	5	2019	sampling
19.0074b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.702389	4.981222	181	17	5	2019	sampling
19.0075a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.701722	4.982722	180	17	5	2019	sampling
19.0075b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.701722	4.982722	180	17	5	2019	sampling
19.0076a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.701083	4.983944	176	17	5	2019	sampling
19.0076b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.701083	4.983944	176	17	5	2019	sampling
19.0077a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.699972	4.98425	158	17	5	2019	sampling
19.0078a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.734361	4.781806	89	18	5	2019	sampling
19.0078b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.734361	4.781806	89	18	5	2019	sampling
19.0079a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.7335	4.783222	112	18	5	2019	sampling
19.0080a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.732611	4.782694	105	18	5	2019	sampling
19.0081a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693111	5.04875	184	19	5	2019	sampling
19.0082a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693667	5.049028	184	19	5	2019	sampling
19.0083a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693722	5.049139	184	19	5	2019	sampling
19.0084a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693639	5.049139	184	19	5	2019	sampling
19.0085a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.6935	5.0485	184	19	5	2019	sampling
19.0085b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.6935	5.0485	184	19	5	2019	sampling
19.0086a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693639	5.048056	184	19	5	2019	sampling
19.0087a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.693889	5.047806	184	19	5	2019	sampling
19.0088a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.694028	5.048111	184	19	5	2019	sampling
19.0089a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Eyguières	Bouches-du-Rhones	43.694167	5.048111	184	19	5	2019	sampling
19.0090a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.735722	4.828028	103	19	5	2019	sampling
19.0090b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.735722	4.828028	103	19	5	2019	sampling
19.0091a	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.735389	4.827889	103	19	5	2019	sampling
19.0091b	NA	TRUE	myrmecophilus	TRUE	myrmecophilus	larve indet	Pheidole pallidula	Les baux de provence	Bouches-du-Rhones	43.735389	4.827889	103	19	5	2019	sampling
